"flux_phi_1:0","flux_phi_1:1","flux_phi_1:2","flux_phi_2:0","flux_phi_2:1","flux_phi_2:2","flux_phi_3:0","flux_phi_3:1","flux_phi_3:2","phi_1","phi_2","phi_3","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0.37809,0,0.63953,0.9,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.34952,0,0.64048,0.85,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.31457,0,0.64165,0.8,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.28311,0,0.643,0.75,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.25445,0,0.64447,0.7,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.22797,0,0.64603,0.65,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.20374,0,0.64762,0.6,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.18176,0,0.6492,0.55,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16196,0,0.65073,0.5,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14426,0,0.65219,0.45,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.12859,0,0.65355,0.4,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11492,0,0.65479,0.35,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10318,0,0.65589,0.3,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.09333,0,0.65685,0.25,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.08533,0,0.65764,0.2,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.079145,0,0.65827,0.15,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.074748,0,0.65872,0.1,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.072117,0,0.659,0.05,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.071242,0,0.65909,0,0.3,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.43043,0,0.63675,0.95,0.25,0,1.0e-14
-0.081899,-0,-0,0,0,0,0.0028121,0,0,0.43877,0,0.63663,1,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.37342,0,0.63748,0.9,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.34415,0,0.63857,0.85,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.30896,0,0.63991,0.8,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.27758,0,0.64143,0.75,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.24922,0,0.64308,0.7,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.22314,0,0.6448,0.65,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.19937,0,0.64655,0.6,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.17785,0,0.64827,0.55,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.15848,0,0.64992,0.5,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14119,0,0.65149,0.45,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.12589,0,0.65293,0.4,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11254,0,0.65425,0.35,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10107,0,0.65541,0.3,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.091457,0,0.65641,0.25,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.083644,0,0.65725,0.2,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.077603,0,0.6579,0.15,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.073307,0,0.65837,0.1,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.070738,0,0.65866,0.05,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.069882,0,0.65875,0,0.25,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.42534,0,0.63394,0.95,0.2,0,1.0e-14
-0.087517,-0,-0,0,0,0,0.0027514,0,0,0.43612,0,0.63376,1,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.36678,0,0.63486,0.9,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.33678,0,0.6362,0.85,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.3015,0,0.63779,0.8,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.27045,0,0.63956,0.75,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.24261,0,0.64143,0.7,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.21715,0,0.64335,0.65,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.19401,0,0.64528,0.6,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.1731,0,0.64717,0.55,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.1543,0,0.64897,0.5,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13751,0,0.65066,0.45,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.12267,0,0.65221,0.4,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10971,0,0.65361,0.35,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.098583,0,0.65484,0.3,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.089244,0,0.6559,0.25,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.081656,0,0.65678,0.2,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.075787,0,0.65747,0.15,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.071613,0,0.65796,0.1,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.069115,0,0.65826,0.05,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.068284,0,0.65836,0,0.2,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.41768,0,0.63019,0.95,0.15,0,1.0e-14
-0.096293,-0,-0,0,0,0,0.0026743,0,0,0.43161,0,0.62985,1,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.35723,0,0.63149,0.9,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.32678,0,0.63329,0.85,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.29187,0,0.63529,0.8,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.26155,0,0.6374,0.75,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.23458,0,0.63954,0.7,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.21001,0,0.64171,0.65,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.18771,0,0.64385,0.6,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16757,0,0.64592,0.55,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14947,0,0.64789,0.5,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.1333,0,0.64972,0.45,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11899,0,0.65139,0.4,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10649,0,0.65289,0.35,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.095756,0,0.6542,0.3,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.086739,0,0.65533,0.25,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.079409,0,0.65625,0.2,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.073737,0,0.65698,0.15,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.069702,0,0.6575,0.1,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.067287,0,0.65782,0.05,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.066483,0,0.65792,0,0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.40572,0,0.62497,0.95,0.1,0,1.0e-14
-0.11081,-0,-0,0,0,0,0.002575,0,0,0.42652,0,0.62434,1,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.34327,0,0.62714,0.9,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.31338,0,0.62977,0.85,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.27979,0,0.63243,0.8,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.25083,0,0.63499,0.75,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.22516,0,0.63748,0.7,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.20178,0,0.63991,0.65,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.18055,0,0.64229,0.6,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16136,0,0.64457,0.55,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14408,0,0.64672,0.5,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.12862,0,0.64871,0.45,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11493,0,0.65051,0.4,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10295,0,0.65211,0.35,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.092655,0,0.65351,0.3,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.083998,0,0.65471,0.25,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.076954,0,0.65569,0.2,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.0715,0,0.65646,0.15,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.067619,0,0.65701,0.1,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.065295,0,0.65734,0.05,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.064521,0,0.65745,0,0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.38537,0,0.61847,0.95,0.05,0,1.0e-14
-0.14584,-0,-0,0,0,0,0.002435,0,0,0.40884,0,0.61653,1,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.32346,0,0.62166,0.9,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.29628,0,0.62568,0.85,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.26522,0,0.62928,0.8,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.23843,0,0.63241,0.75,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.21451,0,0.63528,0.7,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.19263,0,0.63802,0.65,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.17269,0,0.64065,0.6,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.15459,0,0.64315,0.55,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13825,0,0.64549,0.5,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.12359,0,0.64764,0.45,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11058,0,0.64958,0.4,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.099174,0,0.65129,0.35,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.089351,0,0.65279,0.3,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.081083,0,0.65405,0.25,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.074348,0,0.65509,0.2,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.06913,0,0.6559,0.15,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.065413,0,0.65648,0.1,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.063187,0,0.65683,0.05,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.062446,0,0.65695,0,0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.34306,0,0.61057,0.95,0,0,1.0e-14
-0.20518,-0,-0,0,0,0,0.21786,0,0,0.37333,0,0.61664,1,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.30078,0,0.61547,0.9,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.27551,0,0.62127,0.85,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.24866,0,0.62597,0.8,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.22472,0,0.62975,0.75,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.20293,0,0.63304,0.7,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.18281,0,0.63608,0.65,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16432,0,0.63897,0.6,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14744,0,0.6417,0.55,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13212,0,0.64423,0.5,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11833,0,0.64655,0.45,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10604,0,0.64862,0.4,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.095244,0,0.65046,0.35,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.085924,0,0.65204,0.3,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.078065,0,0.65338,0.25,-5.5511e-17,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.071655,0,0.65448,0.2,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.066683,0,0.65534,0.15,-5.5511e-17,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.063138,0,0.65595,0.1,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.061015,0,0.65631,0.05,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.060307,0,0.65643,0,0,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.29529,0,0.60292,0.95,-0.05,0,1.0e-14
-0.0037926,-0,-0,0,0,0,0.20316,0,0,0.31071,0,0.61719,1,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.27527,0,0.60941,0.9,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.25297,0,0.61693,0.85,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.23103,0,0.62272,0.8,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.21029,0,0.62713,0.75,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.19085,0,0.63081,0.7,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.17263,0,0.63416,0.65,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.15571,0,0.6373,0.6,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14011,0,0.64025,0.55,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.12587,0,0.64298,0.5,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11297,0,0.64546,0.45,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10143,0,0.64768,0.4,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.091264,0,0.64962,0.35,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.08246,0,0.6513,0.3,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.07502,0,0.65272,0.25,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.068941,0,0.65387,0.2,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.064219,0,0.65477,0.15,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.06085,0,0.65541,0.1,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.05883,0,0.65579,0.05,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.058157,0,0.65592,0,-0.05,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.26089,0,0.59704,0.95,-0.1,0,1.0e-14
-0.0046655,-0,-0,0,0,0,0.19111,0,0,0.2651,0,0.61047,1,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.24777,0,0.60428,0.9,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.23114,0,0.61306,0.85,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.21342,0,0.6197,0.8,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.19584,0,0.62464,0.75,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.17878,0,0.62869,0.7,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16248,0,0.63231,0.65,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.14713,0,0.63569,0.6,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13283,0,0.63885,0.55,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.11966,0,0.64176,0.5,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10767,0,0.6444,0.45,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.096884,0,0.64675,0.4,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.087339,0,0.64881,0.35,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.079049,0,0.65058,0.3,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.072025,0,0.65207,0.25,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.066275,0,0.65328,0.2,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.061802,0,0.65422,0.15,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.058606,0,0.65489,0.1,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.056689,0,0.65529,0.05,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.05605,0,0.65542,0,-0.1,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.23349,0,0.59254,0.95,-0.15,0,1.0e-14
-0.0052567,-0,-0,0,0,0,0.18323,0,0,0.2388,0,0.60607,1,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.22375,0,0.6004,0.9,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.21119,0,0.60984,0.85,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.19693,0,0.61705,0.8,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.18207,0,0.62238,0.75,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.16721,0,0.62672,0.7,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.15273,0,0.63059,0.65,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.13888,0,0.63419,0.6,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.12583,0,0.63754,0.55,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.1137,0,0.64062,0.5,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.10257,0,0.64341,0.45,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.092517,0,0.64588,0.4,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.083575,0,0.64805,0.35,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.075781,0,0.6499,0.3,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.06916,0,0.65145,0.25,-0.15,0,1.0e-14
0,0,0,0,0,0,0,0,0,0.063726,0,0.65272,0.2,-0.15,0,1.0e-14
